variable,assigned_mean,control_mean,standardized_difference
age_inp,40.55624568668047,40.95834648153992,-0.03438963381220676
gender_inp,0.5686680469289165,0.5623224992111076,0.012800602312364412
numhh_list,1.1956521739130435,1.2893657305143578,-0.21823224391692994
ast_dx_pre_lottery,0.1999654934437543,0.18696749763332282,0.03290676449609344
dia_dx_pre_lottery,0.07108350586611456,0.07084253707794257,0.0009384095594168941
hbp_dx_pre_lottery,0.1818495514147688,0.18081413695171977,0.002687124331452783
chl_dx_pre_lottery,0.12577639751552794,0.12701167560744714,-0.003717136787548058
ami_dx_pre_lottery,0.01984126984126984,0.01940675291890186,0.0031324281461134573
chf_dx_pre_lottery,0.01017943409247757,0.01167560744714421,-0.014390720002197634
emp_dx_pre_lottery,0.022946859903381644,0.02145787314610287,0.010105000421417236
kid_dx_pre_lottery,0.019668737060041408,0.017355632691700852,0.01715947339113356
cancer_dx_pre_lottery,0.041235334713595584,0.04323130325023667,-0.00992351977155347
dep_dx_pre_lottery,0.3497239475500345,0.33165036289050176,0.038138510192848744
HSorGED,0.4613526570048309,0.44714420952982015,0.028537160221700764
someCollege,0.22118702553485162,0.23272325654780687,-0.02754209229943614
collegeGrad,0.11162870945479642,0.11517828968128747,-0.011193649924769596
hispanic_inp,0.1777087646652864,0.18207636478384348,-0.011370303475311509
race_black_inp,0.10748792270531402,0.09940044177974125,0.026556689458939103
race_nwother_inp,0.1419944789510007,0.1456295361312717,-0.010358552764255041
english_list,0.9018288474810214,0.8944461975386557,0.024407891716682836
have_phone_list,0.8828502415458938,0.8884506153360682,-0.01759743978936923
